               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.044941,            0.024469,           0.0096927,             0.44378,             0.30631,             0.29548,             0.14945,            0.051774,            0.026256,            0.023317,            0.006436,            0.006436,            0.006436
                  38,            0.044756,            0.024368,           0.0089842,             0.42526,             0.32921,             0.31297,             0.15342,             0.05114,            0.026137,            0.023266,            0.006337,            0.006337,            0.006337
                  39,            0.044532,            0.024498,           0.0090279,             0.39577,             0.33322,               0.311,             0.15732,            0.050849,            0.026566,            0.023372,            0.006238,            0.006238,            0.006238
                  40,            0.043504,             0.02342,           0.0086865,             0.45622,             0.30095,              0.3079,             0.15659,            0.051087,             0.02635,            0.022459,            0.006139,            0.006139,            0.006139
                  41,            0.043703,            0.023233,           0.0080142,             0.45807,             0.31556,              0.3227,             0.16123,            0.050703,            0.025963,            0.023236,             0.00604,             0.00604,             0.00604
                  42,            0.043185,             0.02309,            0.008301,             0.45307,             0.31649,             0.31417,             0.15595,            0.051023,            0.026173,            0.022831,            0.005941,            0.005941,            0.005941
                  43,            0.042259,            0.022735,           0.0074896,             0.49069,             0.27979,             0.29801,             0.14817,            0.051566,            0.026596,            0.024807,            0.005842,            0.005842,            0.005842
                  44,            0.042746,            0.022892,           0.0072192,             0.45325,             0.29882,             0.30855,             0.15358,            0.050504,             0.02699,            0.023361,            0.005743,            0.005743,            0.005743
                  45,            0.041959,             0.02221,           0.0073531,             0.38923,             0.31583,              0.3039,             0.15199,             0.05165,            0.027127,            0.023784,            0.005644,            0.005644,            0.005644
                  46,            0.041818,            0.022744,           0.0071836,             0.40437,             0.32973,             0.31074,              0.1588,            0.051046,             0.02665,            0.023488,            0.005545,            0.005545,            0.005545
                  47,            0.041347,            0.022205,           0.0065761,             0.47811,             0.29309,             0.30408,             0.14987,            0.051844,            0.026877,            0.023297,            0.005446,            0.005446,            0.005446
                  48,            0.040923,            0.022097,           0.0062181,             0.42755,             0.32687,             0.31433,             0.15515,            0.051281,            0.026795,            0.023156,            0.005347,            0.005347,            0.005347
                  49,            0.042525,            0.023532,           0.0086257,             0.41474,             0.31289,              0.3092,             0.15667,            0.050973,            0.026783,            0.023239,            0.005248,            0.005248,            0.005248
                  50,            0.042907,            0.023122,           0.0087118,             0.48096,             0.30779,             0.31263,             0.15352,            0.051391,            0.026057,            0.023314,            0.005149,            0.005149,            0.005149
                  51,            0.042001,            0.022822,             0.00814,              0.4471,             0.32629,              0.3249,             0.16147,            0.050402,            0.026422,            0.023186,             0.00505,             0.00505,             0.00505
                  52,            0.042155,            0.022787,           0.0077631,             0.44756,              0.3016,             0.30384,             0.15231,            0.050893,             0.02708,             0.02309,            0.004951,            0.004951,            0.004951
                  53,            0.042225,              0.0229,           0.0077866,             0.43588,             0.32103,             0.31709,              0.1596,            0.050231,            0.026592,            0.021969,            0.004852,            0.004852,            0.004852
                  54,            0.042078,            0.022761,           0.0080491,             0.49846,              0.3057,             0.32565,             0.16396,            0.050834,            0.026491,            0.022256,            0.004753,            0.004753,            0.004753
                  55,            0.041379,            0.022635,           0.0070199,             0.52902,             0.30348,             0.33464,             0.16907,            0.050225,             0.02664,            0.021777,            0.004654,            0.004654,            0.004654
                  56,            0.041633,            0.023112,           0.0075573,             0.51163,             0.31788,             0.34349,              0.1726,             0.05009,            0.025826,            0.022534,            0.004555,            0.004555,            0.004555
                  57,            0.041187,            0.022579,           0.0074005,             0.47777,             0.32337,             0.32735,                0.16,            0.051052,            0.026941,            0.023086,            0.004456,            0.004456,            0.004456
                  58,            0.041589,             0.02265,           0.0074165,             0.52103,             0.31311,             0.32601,             0.16027,             0.05087,            0.026452,            0.023285,            0.004357,            0.004357,            0.004357
                  59,            0.040794,             0.02238,           0.0071629,             0.52532,             0.30142,             0.33292,              0.1642,            0.050364,            0.027046,            0.021906,            0.004258,            0.004258,            0.004258
                  60,             0.04063,            0.021673,           0.0067102,             0.46197,             0.31206,             0.32344,             0.16813,            0.050099,            0.026741,            0.023182,            0.004159,            0.004159,            0.004159
                  61,            0.041018,            0.022108,           0.0071558,             0.45323,             0.33211,             0.33377,             0.16785,            0.050491,            0.026595,            0.022807,             0.00406,             0.00406,             0.00406
                  62,            0.040244,            0.022032,           0.0066033,             0.47139,             0.31275,              0.3272,             0.16849,            0.050322,             0.02703,            0.023142,            0.003961,            0.003961,            0.003961
                  63,            0.040241,            0.021994,           0.0066592,              0.4478,             0.31909,             0.32165,             0.16562,            0.050156,            0.026861,            0.023565,            0.003862,            0.003862,            0.003862
                  64,            0.039837,            0.021683,           0.0063619,             0.45865,             0.32935,             0.32457,             0.16639,            0.050485,            0.027232,            0.023684,            0.003763,            0.003763,            0.003763
                  65,            0.039747,            0.021105,           0.0061764,             0.52663,             0.31809,             0.33422,              0.1681,            0.050182,            0.027025,            0.023796,            0.003664,            0.003664,            0.003664
                  66,            0.038842,            0.021382,           0.0058375,             0.49034,             0.31701,             0.33006,             0.16677,            0.050051,            0.026924,            0.022875,            0.003565,            0.003565,            0.003565
                  67,            0.038482,            0.021325,           0.0057267,             0.47644,             0.32261,             0.32919,             0.17012,            0.049736,            0.027155,             0.02363,            0.003466,            0.003466,            0.003466
                  68,            0.038214,            0.020899,           0.0056831,             0.50085,             0.32115,             0.33588,             0.17402,            0.050149,            0.027438,            0.023889,            0.003367,            0.003367,            0.003367
                  69,            0.038007,            0.020477,            0.005723,             0.44273,             0.35008,             0.33972,             0.17458,            0.049845,            0.027867,            0.023279,            0.003268,            0.003268,            0.003268
                  70,            0.037963,            0.020476,           0.0053647,             0.49315,             0.30727,             0.33106,             0.16826,            0.050397,            0.027637,            0.024066,            0.003169,            0.003169,            0.003169
                  71,            0.037612,             0.02058,           0.0053724,             0.48521,              0.3402,             0.34155,             0.17749,            0.050022,            0.027626,            0.023785,             0.00307,             0.00307,             0.00307
                  72,            0.037428,             0.01994,           0.0052122,             0.46367,             0.31909,             0.32228,             0.17053,            0.050342,            0.027843,            0.024123,            0.002971,            0.002971,            0.002971
                  73,             0.03719,            0.019672,           0.0053777,             0.52548,             0.31618,             0.33391,             0.17114,            0.050398,            0.028317,            0.023884,            0.002872,            0.002872,            0.002872
                  74,            0.036891,             0.01996,           0.0053663,             0.48702,             0.32772,             0.33277,             0.17056,            0.050491,            0.028221,            0.023502,            0.002773,            0.002773,            0.002773
                  75,            0.036949,            0.020132,            0.004906,             0.49345,             0.32507,             0.33921,             0.17265,            0.050218,            0.028439,            0.023839,            0.002674,            0.002674,            0.002674
                  76,            0.036691,            0.019814,           0.0048581,               0.541,             0.30602,             0.33112,             0.16884,            0.050097,            0.028421,            0.023672,            0.002575,            0.002575,            0.002575
                  77,            0.036426,            0.019261,           0.0047184,              0.5091,             0.30551,             0.33018,             0.17008,            0.049985,            0.028742,            0.023369,            0.002476,            0.002476,            0.002476
